test_fna/5_AE016877.fasta	test_fna/5_AE016877.fasta	1349-0|1349|1349	1.000000	0.000000	1.000000	0.000000	-nan[-nan,-nan]	nan[nan,nan]	-nan[-nan,-nan]	nan[nan,nan]	-NAN	-NAN	-NAN	-NAN
test_fna/5_AE016877.fasta	test_fna/16_AE016877.fasta	121-1|1316|1349	0.047563	0.149939	0.091945	0.149160	0.047012[0.038787,0.055238]	0.150634[0.141046,0.162161]	0.090881[0.075351,0.106411]	0.149888[0.140028,0.161600]	1.978184E-29	9.357667E-31	1.901035E-26	8.992718E-28
test_fna/5_AE016877.fasta	test_fna/10_AE016877.fasta	267-1|1317|1349	0.111296	0.100496	0.202733	0.099741	0.110845[0.098282,0.123407]	0.100725[0.094718,0.107532]	0.201910[0.180230,0.223591]	0.099996[0.093621,0.107095]	2.631950E-67	9.701622E-75	2.529304E-64	9.323258E-72
test_fna/5_AE016877.fasta	test_fna/11_AE016877.fasta	219-1|1245|1349	0.092211	0.111171	0.175904	0.108614	0.091745[0.080135,0.103354]	0.111461[0.104675,0.119249]	0.175015[0.153908,0.196122]	0.108930[0.101814,0.116963]	2.063868E-54	1.085884E-59	1.983377E-51	1.043535E-56
test_fna/5_AE016877.fasta	test_fna/29_AE016877.fasta	31-1|1261|1349	0.012020	0.233748	0.024584	0.231605	0.011420[0.007319,0.015521]	0.236911[0.217988,0.264460]	0.023357[0.015021,0.031693]	0.234804[0.215728,0.262396]	2.403288E-08	1.991817E-08	2.309560E-05	1.914136E-05
test_fna/5_AE016877.fasta	test_fna/15_AE016877.fasta	119-1|1323|1349	0.046612	0.151144	0.089947	0.150533	0.046058[0.037927,0.054189]	0.151858[0.142181,0.163510]	0.088879[0.073545,0.104213]	0.151280[0.141332,0.163116]	6.103164E-29	3.294349E-30	5.865140E-26	3.165869E-27
test_fna/5_AE016877.fasta	test_fna/6_AE016877.fasta	379-0|1279|1349	0.168519	0.077706	0.296325	0.076019	0.168149[0.152692,0.183606]	0.077824[0.073149,0.083018]	0.295674[0.270664,0.320684]	0.076156[0.071081,0.081680]	3.581138E-101	4.409005E-119	3.441474E-98	4.237053E-116
test_fna/5_AE016877.fasta	test_fna/19_AE016877.fasta	92-1|1321|1349	0.035687	0.167181	0.069644	0.166522	0.035115[0.028009,0.042220]	0.168156[0.157066,0.181856]	0.068528[0.054904,0.082153]	0.167532[0.156198,0.181386]	1.727536E-22	3.155862E-23	1.660162E-19	3.032783E-20
test_fna/5_AE016877.fasta	test_fna/23_AE016877.fasta	61-1|1272|1349	0.023828	0.191706	0.047956	0.189842	0.023247[0.017409,0.029084]	0.193214[0.179568,0.210928]	0.046786[0.035180,0.058391]	0.191386[0.177537,0.209204]	2.960073E-15	1.378631E-15	2.844631E-12	1.324865E-12
test_fna/5_AE016877.fasta	test_fna/12_AE016877.fasta	177-1|1269|1349	0.072511	0.125054	0.139480	0.123115	0.072011[0.061756,0.082266]	0.125458[0.117732,0.134459]	0.138518[0.119511,0.157524]	0.123547[0.115511,0.132772]	2.128674E-43	1.370052E-46	2.045655E-40	1.316620E-43
test_fna/5_AE016877.fasta	test_fna/24_AE016877.fasta	60-1|1296|1349	0.023211	0.193308	0.046296	0.192043	0.022623[0.016890,0.028355]	0.194877[0.181110,0.212788]	0.045123[0.033822,0.056424]	0.193647[0.179678,0.211665]	5.162143E-15	2.522155E-15	4.960820E-12	2.423791E-12
test_fna/5_AE016877.fasta	test_fna/27_AE016877.fasta	54-1|1369|1349	0.020270	0.201595	0.040030	0.201133	0.019660[0.014388,0.024932]	0.203467[0.188942,0.222655]	0.038825[0.028516,0.049134]	0.203043[0.188326,0.222330]	1.343070E-13	7.809861E-14	1.290690E-10	7.505276E-11
test_fna/5_AE016877.fasta	test_fna/13_AE016877.fasta	186-1|1271|1349	0.076417	0.122002	0.146341	0.120113	0.075923[0.065400,0.086446]	0.122379[0.114875,0.131090]	0.145394[0.126015,0.164774]	0.120519[0.112699,0.129460]	1.055372E-45	2.996137E-49	1.014213E-42	2.879287E-46
test_fna/5_AE016877.fasta	test_fna/28_AE016877.fasta	43-1|1324|1349	0.016350	0.214788	0.032477	0.214201	0.015743[0.010985,0.020500]	0.217115[0.200904,0.239311]	0.031272[0.021896,0.040647]	0.216565[0.200177,0.238840]	4.412744E-11	3.125907E-11	4.240647E-08	3.003996E-08
test_fna/5_AE016877.fasta	test_fna/8_AE016877.fasta	312-0|1284|1349	0.134425	0.089983	0.242991	0.088421	0.134010[0.120151,0.147870]	0.090153[0.084761,0.096208]	0.242242[0.218807,0.265677]	0.088614[0.082842,0.094973]	2.133448E-80	1.446924E-91	2.050243E-77	1.390494E-88
test_fna/5_AE016877.fasta	test_fna/20_AE016877.fasta	80-1|1321|1349	0.030888	0.175916	0.060560	0.175257	0.030308[0.023705,0.036910]	0.177066[0.165148,0.192021]	0.059423[0.046674,0.072172]	0.176443[0.164294,0.191536]	1.157119E-19	3.256806E-20	1.111991E-16	3.129791E-17
test_fna/26_AE016877.fasta	test_fna/5_AE016877.fasta	56-1|1349|1327	0.021374	0.198349	0.042200	0.197833	0.020775[0.015314,0.026237]	0.200087[0.185833,0.218815]	0.041019[0.030347,0.051690]	0.199608[0.185156,0.218440]	4.471539E-14	2.461917E-14	4.297149E-11	2.365903E-11
test_fna/26_AE016877.fasta	test_fna/26_AE016877.fasta	1327-0|1327|1327	1.000000	0.000000	1.000000	0.000000	-nan[-nan,-nan]	nan[nan,nan]	-nan[-nan,-nan]	nan[nan,nan]	-NAN	-NAN	-NAN	-NAN
test_fna/26_AE016877.fasta	test_fna/4_AE016877.fasta	62-1|1366|1327	0.023565	0.192383	0.046722	0.191471	0.022967[0.017243,0.028691]	0.193954[0.180395,0.211519]	0.045536[0.034319,0.056753]	0.193079[0.179316,0.210754]	1.856688E-15	8.836106E-16	1.784277E-12	8.491498E-13
test_fna/26_AE016877.fasta	test_fna/22_AE016877.fasta	20-1|1244|1327	0.007840	0.260198	0.016077	0.258147	0.007242[0.003951,0.010532]	0.265124[0.241917,0.302782]	0.014850[0.008129,0.021571]	0.263110[0.239774,0.300773]	8.026533E-06	7.443797E-06	7.713498E-03	7.153489E-03
test_fna/26_AE016877.fasta	test_fna/9_AE016877.fasta	44-1|1331|1327	0.016832	0.213000	0.033157	0.212905	0.016230[0.011386,0.021074]	0.215242[0.199215,0.237099]	0.031970[0.022505,0.041435]	0.215185[0.198976,0.237127]	2.568647E-11	1.795069E-11	2.468470E-08	1.725061E-08
test_fna/26_AE016877.fasta	test_fna/7_AE016877.fasta	42-1|1278|1327	0.016387	0.214648	0.032864	0.213461	0.015796[0.010969,0.020623]	0.216909[0.200539,0.239405]	0.031678[0.022076,0.041280]	0.215758[0.199211,0.238330]	7.106562E-11	5.032410E-11	6.829406E-08	4.836146E-08
test_fna/26_AE016877.fasta	test_fna/25_AE016877.fasta	15-1|1451|1327	0.005429	0.283018	0.011304	0.280164	0.004778[0.002207,0.007349]	0.290957[0.264206,0.339078]	0.009949[0.004609,0.015289]	0.288144[0.261290,0.336236]	1.351709E-04	1.302674E-04	1.298992E-01	1.251869E-01
test_fna/26_AE016877.fasta	test_fna/17_AE016877.fasta	29-1|1356|1327	0.010927	0.239640	0.021854	0.238961	0.010308[0.006465,0.014150]	0.243249[0.223683,0.272167]	0.020615[0.012970,0.028260]	0.242608[0.222893,0.271570]	7.301623E-08	6.282253E-08	7.016860E-05	6.037246E-05
test_fna/26_AE016877.fasta	test_fna/14_AE016877.fasta	32-1|1294|1327	0.012360	0.232027	0.024730	0.231235	0.011758[0.007605,0.015910]	0.235112[0.216466,0.262083]	0.023524[0.015266,0.031782]	0.234358[0.215553,0.261382]	1.428249E-08	1.179638E-08	1.372548E-05	1.133632E-05
test_fna/26_AE016877.fasta	test_fna/1_AE016877.fasta	77-1|1316|1327	0.030008	0.177670	0.058511	0.177409	0.029432[0.022892,0.035971]	0.178846[0.166701,0.194153]	0.057388[0.044821,0.069954]	0.178620[0.166245,0.194067]	5.665679E-19	1.761724E-19	5.444718E-16	1.693017E-16
test_fna/26_AE016877.fasta	test_fna/18_AE016877.fasta	24-1|1321|1327	0.009146	0.250647	0.018168	0.250506	0.008532[0.005013,0.012051]	0.254957[0.233591,0.287978]	0.016947[0.009987,0.023908]	0.254853[0.233347,0.287906]	1.007889E-06	9.114306E-07	9.685817E-04	8.758848E-04
test_fna/26_AE016877.fasta	test_fna/AE016877.fasta	80-1|1329|1327	0.031056	0.175588	0.060286	0.175541	0.030479[0.023841,0.037117]	0.176725[0.164811,0.191674]	0.059166[0.046472,0.071861]	0.176713[0.164564,0.191807]	1.138909E-19	3.265301E-20	1.094492E-16	3.137954E-17
test_fna/26_AE016877.fasta	test_fna/21_AE016877.fasta	20-1|1400|1327	0.007388	0.263880	0.015072	0.262184	0.006752[0.003667,0.009838]	0.269465[0.246137,0.307426]	0.013775[0.007503,0.020046]	0.267808[0.244359,0.305775]	8.938540E-06	8.344616E-06	8.589937E-03	8.019176E-03
test_fna/26_AE016877.fasta	test_fna/30_AE016877.fasta	7-1|1363|1327	0.002609	0.328640	0.005275	0.327798	0.001972[0.000294,0.003651]	0.346083[0.307699,0.465042]	0.003988[0.000597,0.007379]	0.345281[0.306821,0.463984]	1.064823E-02	1.058285E-02	1.023295E+01	1.017012E+01
test_fna/26_AE016877.fasta	test_fna/2_AE016877.fasta	71-1|1326|1327	0.027498	0.182976	0.053544	0.182953	0.026916[0.020673,0.033158]	0.184279[0.171622,0.200390]	0.052410[0.040415,0.064405]	0.184291[0.171410,0.200535]	1.445047E-17	5.457849E-18	1.388690E-14	5.244993E-15
test_fna/26_AE016877.fasta	test_fna/3_AE016877.fasta	60-1|1333|1327	0.023077	0.193662	0.045215	0.193521	0.022485[0.016786,0.028184]	0.195250[0.181479,0.213168]	0.044055[0.033013,0.055097]	0.195145[0.181167,0.213178]	5.235193E-15	2.637577E-15	5.031020E-12	2.534712E-12
test_fna/26_AE016877.fasta	test_fna/16_AE016877.fasta	28-1|1316|1327	0.010707	0.240895	0.021277	0.240634	0.010097[0.006265,0.013929]	0.244527[0.224655,0.274117]	0.020063[0.012488,0.027639]	0.244304[0.224283,0.273939]	1.204999E-07	1.047182E-07	1.158004E-04	1.006342E-04
test_fna/26_AE016877.fasta	test_fna/10_AE016877.fasta	31-1|1317|1327	0.011864	0.234557	0.023538	0.234320	0.011255[0.007210,0.015300]	0.237811[0.218871,0.265393]	0.022331[0.014351,0.030311]	0.237612[0.218516,0.265248]	2.464706E-08	2.071524E-08	2.368582E-05	1.990734E-05
test_fna/26_AE016877.fasta	test_fna/11_AE016877.fasta	34-1|1245|1327	0.013396	0.227058	0.027309	0.225033	0.012808[0.008433,0.017182]	0.229831[0.211735,0.255678]	0.026109[0.017251,0.034967]	0.227842[0.209585,0.253742]	4.782906E-09	3.795291E-09	4.596373E-06	3.647274E-06
test_fna/26_AE016877.fasta	test_fna/29_AE016877.fasta	14-1|1261|1327	0.005439	0.282902	0.011102	0.281288	0.004832[0.002153,0.007511]	0.290260[0.262858,0.340617]	0.009863[0.004409,0.015318]	0.288684[0.261171,0.339010]	2.036966E-04	1.968896E-04	1.957525E-01	1.892109E-01
test_fna/26_AE016877.fasta	test_fna/15_AE016877.fasta	21-1|1323|1327	0.007988	0.259040	0.015873	0.258946	0.007371[0.004101,0.010640]	0.264028[0.241284,0.300468]	0.014647[0.008173,0.021120]	0.263972[0.241096,0.300432]	4.974379E-06	4.612885E-06	4.780378E-03	4.432983E-03
test_fna/26_AE016877.fasta	test_fna/6_AE016877.fasta	48-1|1279|1327	0.018765	0.206326	0.037529	0.205165	0.018177[0.013000,0.023354]	0.208278[0.192932,0.228910]	0.036355[0.026097,0.046613]	0.207152[0.191618,0.227872]	2.956152E-12	1.874303E-12	2.840862E-09	1.801206E-09
test_fna/26_AE016877.fasta	test_fna/19_AE016877.fasta	22-1|1321|1327	0.008378	0.256086	0.016654	0.255944	0.007762[0.004405,0.011118]	0.260821[0.238567,0.296014]	0.015429[0.008783,0.022076]	0.260717[0.238329,0.295935]	2.917203E-06	2.683349E-06	2.803432E-03	2.578698E-03
test_fna/26_AE016877.fasta	test_fna/23_AE016877.fasta	15-1|1272|1327	0.005805	0.278855	0.011792	0.277518	0.005196[0.002424,0.007968]	0.285745[0.259194,0.333230]	0.010555[0.004939,0.016171]	0.284446[0.257782,0.331912]	1.195122E-04	1.149465E-04	1.148512E-01	1.104636E-01
test_fna/26_AE016877.fasta	test_fna/12_AE016877.fasta	32-1|1269|1327	0.012480	0.231428	0.025217	0.230016	0.011884[0.007690,0.016079]	0.234450[0.215816,0.261399]	0.024012[0.015589,0.032435]	0.233075[0.214282,0.260074]	1.402558E-08	1.151275E-08	1.347858E-05	1.106376E-05
test_fna/26_AE016877.fasta	test_fna/24_AE016877.fasta	13-1|1296|1327	0.004981	0.288374	0.010031	0.287631	0.004364[0.001835,0.006893]	0.296592[0.268181,0.350572]	0.008790[0.003708,0.013871]	0.295887[0.267371,0.349834]	3.591718E-04	3.494346E-04	3.451641E-01	3.358066E-01
test_fna/26_AE016877.fasta	test_fna/27_AE016877.fasta	18-1|1369|1327	0.006721	0.269750	0.013564	0.268769	0.006091[0.003144,0.009038]	0.275864[0.251384,0.317010]	0.012293[0.006364,0.018221]	0.274922[0.250323,0.316069]	2.547585E-05	2.412809E-05	2.448229E-02	2.318709E-02
test_fna/26_AE016877.fasta	test_fna/13_AE016877.fasta	26-1|1271|1327	0.010109	0.244453	0.020456	0.243091	0.009508[0.005757,0.013258]	0.248247[0.227697,0.279366]	0.019240[0.011688,0.026792]	0.246922[0.226227,0.278074]	3.368214E-07	2.966203E-07	3.236854E-04	2.850521E-04
test_fna/26_AE016877.fasta	test_fna/28_AE016877.fasta	20-1|1324|1327	0.007602	0.262113	0.015106	0.262043	0.006984[0.003801,0.010166]	0.267376[0.244107,0.305189]	0.013877[0.007576,0.020179]	0.267344[0.243946,0.305173]	8.482620E-06	7.926108E-06	8.151798E-03	7.616990E-03
test_fna/26_AE016877.fasta	test_fna/8_AE016877.fasta	38-1|1284|1327	0.014769	0.221047	0.029595	0.220009	0.014173[0.009606,0.018740]	0.223583[0.206406,0.247613]	0.028401[0.019315,0.037488]	0.222582[0.205234,0.246679]	5.931752E-10	4.493087E-10	5.700413E-07	4.317856E-07
test_fna/26_AE016877.fasta	test_fna/20_AE016877.fasta	13-1|1321|1327	0.004934	0.288966	0.009841	0.288825	0.004311[0.001810,0.006813]	0.297357[0.268912,0.351460]	0.008599[0.003620,0.013579]	0.297254[0.268703,0.351327]	3.654323E-04	3.558542E-04	3.511804E-01	3.419758E-01
test_fna/4_AE016877.fasta	test_fna/5_AE016877.fasta	485-0|1349|1366	0.217489	0.064328	0.359526	0.063936	0.217163[0.200050,0.234276]	0.064405[0.060537,0.068650]	0.358987[0.333388,0.384586]	0.064029[0.059724,0.068653]	7.485104E-137	1.289247E-166	7.193185E-134	1.238967E-163
test_fna/4_AE016877.fasta	test_fna/26_AE016877.fasta	62-1|1327|1366	0.023565	0.192383	0.046722	0.191471	0.022967[0.017243,0.028691]	0.193954[0.180395,0.211519]	0.045536[0.034319,0.056753]	0.193079[0.179316,0.210754]	1.856688E-15	8.836106E-16	1.784277E-12	8.491498E-13
test_fna/4_AE016877.fasta	test_fna/4_AE016877.fasta	1366-0|1366|1366	1.000000	0.000000	1.000000	0.000000	-nan[-nan,-nan]	nan[nan,nan]	-nan[-nan,-nan]	nan[nan,nan]	-NAN	-NAN	-NAN	-NAN
test_fna/4_AE016877.fasta	test_fna/22_AE016877.fasta	85-1|1244|1366	0.033663	0.170707	0.068328	0.167715	0.033102[0.026124,0.040081]	0.171723[0.160189,0.186096]	0.067189[0.053277,0.081101]	0.168765[0.157004,0.183266]	7.184640E-21	1.454920E-21	6.904439E-18	1.398178E-18
test_fna/4_AE016877.fasta	test_fna/9_AE016877.fasta	303-1|1331|1366	0.126566	0.093313	0.227648	0.092497	0.126131[0.112832,0.139430]	0.093505[0.087973,0.099726]	0.226865[0.204365,0.249365]	0.092713[0.086802,0.099240]	1.982461E-77	3.122085E-87	1.905145E-74	3.000324E-84
test_fna/4_AE016877.fasta	test_fna/7_AE016877.fasta	365-0|1278|1366	0.160158	0.080438	0.285603	0.078322	0.159775[0.144732,0.174818]	0.080567[0.075748,0.085931]	0.284920[0.260173,0.309668]	0.078472[0.073266,0.084151]	1.501128E-96	4.703083E-113	1.442584E-93	4.519663E-110
test_fna/4_AE016877.fasta	test_fna/25_AE016877.fasta	62-1|1451|1366	0.022505	0.195197	0.045388	0.193282	0.021877[0.016415,0.027340]	0.196925[0.183328,0.214545]	0.044123[0.033232,0.055014]	0.195049[0.181261,0.212766]	2.083249E-15	1.005769E-15	2.002002E-12	9.665436E-13
test_fna/4_AE016877.fasta	test_fna/17_AE016877.fasta	145-1|1356|1366	0.056267	0.139953	0.106932	0.139723	0.055719[0.046863,0.064576]	0.140531[0.131834,0.150823]	0.105892[0.089514,0.122269]	0.140334[0.131346,0.150835]	3.070983E-35	4.194586E-37	2.951215E-32	4.030997E-34
test_fna/4_AE016877.fasta	test_fna/14_AE016877.fasta	182-1|1294|1366	0.073446	0.124308	0.140649	0.122593	0.072939[0.062701,0.083178]	0.124711[0.117095,0.133566]	0.139678[0.120790,0.158566]	0.123026[0.115099,0.132106]	1.311539E-44	6.569437E-48	1.260389E-41	6.313229E-45
test_fna/4_AE016877.fasta	test_fna/1_AE016877.fasta	752-0|1316|1366	0.389637	0.036152	0.571429	0.034976	0.389466[0.367711,0.411222]	0.036172[0.033746,0.038778]	0.571178[0.544438,0.597917]	0.035003[0.032144,0.038000]	5.136875E-270	0.000000E+00	4.936537E-267	0.000000E+00
test_fna/4_AE016877.fasta	test_fna/18_AE016877.fasta	121-1|1321|1366	0.047155	0.150453	0.091597	0.149397	0.046600[0.038444,0.054755]	0.151160[0.141565,0.162696]	0.090518[0.075045,0.105991]	0.150138[0.140275,0.161854]	2.060525E-29	9.744369E-31	1.980164E-26	9.364339E-28
test_fna/4_AE016877.fasta	test_fna/AE016877.fasta	850-0|1329|1366	0.460705	0.028798	0.639579	0.027934	0.460577[0.437832,0.483321]	0.028810[0.026763,0.030994]	0.639401[0.613585,0.665217]	0.027951[0.025478,0.030527]	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
test_fna/4_AE016877.fasta	test_fna/21_AE016877.fasta	94-1|1400|1366	0.035180	0.168045	0.068814	0.167272	0.034586[0.027658,0.041515]	0.169072[0.158077,0.182624]	0.067654[0.054335,0.080972]	0.168335[0.157103,0.182037]	6.598317E-23	1.187913E-23	6.340983E-20	1.141584E-20
test_fna/4_AE016877.fasta	test_fna/30_AE016877.fasta	50-1|1363|1366	0.018664	0.206658	0.036684	0.206589	0.018048[0.013007,0.023089]	0.208716[0.193629,0.228878]	0.035474[0.025654,0.045294]	0.208685[0.193411,0.228941]	1.132544E-12	7.196726E-13	1.088375E-09	6.916054E-10
test_fna/4_AE016877.fasta	test_fna/2_AE016877.fasta	675-0|1326|1366	0.334655	0.043136	0.509050	0.042201	0.334443[0.313853,0.355033]	0.043166[0.040389,0.046166]	0.508726[0.481818,0.535635]	0.042240[0.039019,0.045637]	1.022193E-222	7.339430E-301	9.823274E-220	7.053192E-298
test_fna/4_AE016877.fasta	test_fna/3_AE016877.fasta	596-0|1333|1366	0.283405	0.051078	0.447112	0.050309	0.283147[0.263892,0.302403]	0.051122[0.047941,0.054579]	0.446706[0.420017,0.473394]	0.050366[0.046739,0.054216]	5.832505E-183	2.451556E-236	5.605038E-180	2.355945E-233
test_fna/4_AE016877.fasta	test_fna/16_AE016877.fasta	147-1|1316|1366	0.057988	0.138171	0.111702	0.136995	0.057452[0.048393,0.066511]	0.138720[0.130102,0.148907]	0.110669[0.093719,0.127619]	0.137576[0.128669,0.147966]	8.924796E-36	8.517952E-38	8.576729E-33	8.185752E-35
test_fna/4_AE016877.fasta	test_fna/10_AE016877.fasta	288-1|1317|1366	0.120251	0.096161	0.218679	0.095009	0.119809[0.106803,0.132814]	0.096367[0.090648,0.102819]	0.217875[0.195580,0.240170]	0.095240[0.089151,0.101987]	3.574188E-73	4.484436E-82	3.434795E-70	4.309543E-79
test_fna/4_AE016877.fasta	test_fna/11_AE016877.fasta	241-1|1245|1366	0.101688	0.105597	0.193574	0.102631	0.101233[0.089089,0.113377]	0.105851[0.099455,0.113145]	0.192709[0.170799,0.214618]	0.102911[0.096181,0.110454]	2.627190E-60	6.730495E-67	2.524729E-57	6.468005E-64
test_fna/4_AE016877.fasta	test_fna/29_AE016877.fasta	38-1|1261|1366	0.014677	0.221429	0.030135	0.218880	0.014079[0.009541,0.018617]	0.223995[0.206811,0.248035]	0.028906[0.019658,0.038153]	0.221482[0.204134,0.245578]	5.996017E-10	4.489052E-10	5.762173E-07	4.313979E-07
test_fna/4_AE016877.fasta	test_fna/15_AE016877.fasta	145-1|1323|1366	0.056997	0.139190	0.109599	0.138183	0.056457[0.047488,0.065426]	0.139753[0.131066,0.150032]	0.108562[0.091799,0.125325]	0.138777[0.129803,0.149260]	2.833860E-35	3.222242E-37	2.723339E-32	3.096575E-34
test_fna/4_AE016877.fasta	test_fna/6_AE016877.fasta	434-0|1279|1366	0.196291	0.069640	0.339328	0.067549	0.195951[0.179406,0.212497]	0.069730[0.065523,0.074373]	0.338740[0.312802,0.364678]	0.067658[0.063046,0.072637]	1.690772E-119	8.319523E-145	1.624832E-116	7.995062E-142
test_fna/4_AE016877.fasta	test_fna/19_AE016877.fasta	110-1|1321|1366	0.042685	0.156410	0.083270	0.155354	0.042122[0.034367,0.049878]	0.157206[0.147107,0.169457]	0.082172[0.067362,0.096981]	0.156184[0.145827,0.168605]	9.171775E-27	7.578481E-28	8.814076E-24	7.282921E-25
test_fna/4_AE016877.fasta	test_fna/23_AE016877.fasta	80-1|1272|1366	0.031274	0.175163	0.062893	0.172895	0.030703[0.024017,0.037388]	0.176281[0.164373,0.191223]	0.061743[0.048516,0.074970]	0.174048[0.161916,0.189116]	1.114450E-19	2.871300E-20	1.070987E-16	2.759319E-17
test_fna/4_AE016877.fasta	test_fna/12_AE016877.fasta	185-1|1269|1366	0.075510	0.122696	0.145784	0.120352	0.075012[0.064581,0.085442]	0.123081[0.115547,0.131829]	0.144821[0.125459,0.164184]	0.120766[0.112923,0.129736]	2.025104E-45	5.857397E-49	1.946125E-42	5.628959E-46
test_fna/4_AE016877.fasta	test_fna/24_AE016877.fasta	70-1|1296|1366	0.027006	0.184074	0.054012	0.182409	0.026421[0.020247,0.032596]	0.185407[0.172656,0.201666]	0.052842[0.040662,0.065023]	0.183778[0.170814,0.200154]	2.492817E-17	9.221095E-18	2.395597E-14	8.861472E-15
